title,fee_109,fee_110,fee_111,fee_112,fee_113,fee_114,max_jump_pct,max_jump_pre113_pct
新北市私立冠軍幼兒園,50406,53886,54606,55392,60225,60225,8.73,6.9
新北市私立凱思莉幼兒園,75000,75000,88000,94500,94500,94500,17.33,17.33
新北市私立凱怡幼兒園,66000,66750,66750,66750,66750,66750,1.14,1.14
新北市私立凱撒琳幼兒園,80700,82050,85950,85950,91602,91602,6.58,4.75
新北市私立凱文幼兒園,60982,62902,63502,64186,67976,67976,5.91,3.15
新北市私立凱樂幼兒園,80475,89850,89850,89850,90926,90926,11.65,11.65
新北市私立凱樂蒂幼兒園,83600,86250,86250,,,,3.17,3.17
新北市私立凱達格蘭幼兒園,54780,61260,62280,63324,65784,65784,11.83,11.83
新北市私立創意蘋果幼兒園,68000,68630,68870,68870,71666,71666,4.06,0.93
新北市私立劍橋幼兒園,70412,74112,81595,84700,86950,91075,10.1,10.1
新北市私立劍聲幼兒園,109000,109000,113500,113500,113500,113500,4.13,4.13
新北市私立劍聲樹林幼兒園,83000,83000,94100,94100,94810,94810,13.37,13.37
新北市私立力品幼兒園,69606,70356,70356,70356,70356,,1.08,1.08
新北市私立加州森林國際幼兒園,106500,106500,126000,126000,132300,132300,18.31,18.31
新北市私立勁寶兒喜星園幼兒園,109500,114000,118000,120000,120000,120000,4.11,4.11
新北市私立勁寶兒晨星園幼兒園,103000,108000,111000,112500,112500,,4.85,4.85
新北市私立勁寶兒林口幼兒園,99600,99600,106800,127755,127755,127755,19.62,19.62
新北市私立勁寶兒長樂幼兒園,100500,106500,106500,111000,113674,113674,5.97,5.97
新北市私立勝利幼兒園,70050,70050,70050,70050,73404,73404,4.79,0.0
新北市私立勵輝國際幼兒園,73600,82975,88975,90280,90882,90882,12.74,12.74
